Datetime,Adj Close,Close,High,Low,Open,Volume
2026-09-01 00:00:00-04:00,7692.75,7692.75,7698.0,7692.0,7696.5,0
2026-09-01 01:00:00-04:00,7704.5,7704.5,7706.25,7690.0,7692.75,9236
2026-09-01 02:00:00-04:00,7697.5,7697.5,7705.5,7696.0,7704.75,9015
2026-09-01 03:00:00-04:00,7690.5,7690.5,7705.5,7687.0,7697.25,18353
2026-09-01 04:00:00-04:00,7658.5,7658.5,7693.0,7658.5,7690.5,44992
2026-09-01 05:00:00-04:00,7653.25,7653.25,7660.0,7648.5,7658.75,27361
2026-09-01 06:00:00-04:00,7656.5,7656.5,7664.5,7650.75,7653.5,18689
2026-09-01 07:00:00-04:00,7652.5,7652.5,7663.25,7651.25,7656.25,21088
2026-09-01 08:00:00-04:00,7647.5,7647.5,7654.75,7645.0,7652.25,36313
2026-09-01 09:00:00-04:00,7647.0,7647.0,7652.75,7638.75,7647.25,169398
2026-09-01 10:00:00-04:00,7662.25,7662.25,7673.0,7644.5,7647.25,220152
2026-09-01 11:00:00-04:00,7670.0,7670.0,7673.75,7653.75,7662.5,158476
2026-09-01 12:00:00-04:00,7649.5,7649.5,7670.5,7642.5,7670.0,183238
2026-09-01 13:00:00-04:00,7644.75,7644.75,7649.5,7635.0,7649.5,123305
2026-09-01 14:00:00-04:00,7634.0,7634.0,7647.0,7621.5,7645.0,147908
2026-09-01 15:00:00-04:00,7644.0,7644.0,7645.5,7632.75,7634.0,254033
2026-09-01 16:00:00-04:00,7647.5,7647.5,7648.75,7640.75,7644.0,53317
2026-09-01 18:00:00-04:00,7645.25,7645.25,7648.0,7641.5,7645.0,0
2026-09-01 19:00:00-04:00,7646.25,7646.25,7647.25,7644.25,7645.25,2750
2026-09-01 20:00:00-04:00,7640.0,7640.0,7651.5,7640.0,7646.5,11589
2026-09-01 21:00:00-04:00,7636.75,7636.75,7642.75,7632.25,7640.0,14588
2026-09-01 22:00:00-04:00,7641.0,7641.0,7641.75,7633.5,7637.0,7941
2026-09-01 23:00:00-04:00,7635.5,7635.5,7642.0,7634.25,7641.25,5996
2026-09-02 00:00:00-04:00,7635.25,7635.25,7636.5,7632.75,7635.25,4395
2026-09-02 01:00:00-04:00,7637.25,7637.25,7643.0,7632.75,7635.5,7304
2026-09-02 02:00:00-04:00,7641.25,7641.25,7643.0,7631.75,7637.5,11309
2026-09-02 03:00:00-04:00,7637.5,7637.5,7647.25,7635.25,7641.25,13656
2026-09-02 04:00:00-04:00,7626.5,7626.5,7643.0,7623.25,7637.5,12511
2026-09-02 05:00:00-04:00,7625.75,7625.75,7633.0,7621.5,7626.5,16054
2026-09-02 06:00:00-04:00,7626.75,7626.75,7628.75,7621.25,7625.75,12364
2026-09-02 07:00:00-04:00,7646.25,7646.25,7646.25,7618.5,7626.5,28331
2026-09-02 08:00:00-04:00,7640.25,7640.25,7658.75,7639.25,7646.25,45916
2026-09-02 09:00:00-04:00,7656.75,7656.75,7657.0,7639.75,7640.0,149394
2026-09-02 10:00:00-04:00,7679.75,7679.75,7690.25,7654.75,7656.5,260378
2026-09-02 11:00:00-04:00,7685.75,7685.75,7691.25,7676.0,7679.5,149528
2026-09-02 12:00:00-04:00,7675.5,7675.5,7685.75,7673.0,7685.5,93432
2026-09-02 13:00:00-04:00,7678.0,7678.0,7681.25,7670.0,7675.5,101006
2026-09-02 14:00:00-04:00,7674.5,7674.5,7687.75,7672.5,7678.25,107442
2026-09-02 15:00:00-04:00,7678.25,7678.25,7681.75,7673.25,7674.25,162113
2026-09-02 16:00:00-04:00,7669.25,7669.25,7682.5,7667.5,7678.25,46183
2026-09-02 18:00:00-04:00,7676.0,7676.0,7680.0,7671.5,7673.5,0
2026-09-02 19:00:00-04:00,7679.75,7679.75,7681.25,7674.5,7676.25,4565
2026-09-02 20:00:00-04:00,7672.75,7672.75,7679.75,7671.5,7679.75,6531
2026-09-02 21:00:00-04:00,7671.75,7671.75,7679.25,7671.5,7672.5,7665
2026-09-02 22:00:00-04:00,7678.75,7678.75,7680.5,7671.0,7671.75,5544
2026-09-02 23:00:00-04:00,7682.0,7682.0,7683.75,7677.75,7678.5,4896
2026-09-03 00:00:00-04:00,7679.75,7679.75,7684.5,7679.25,7683.5,3422
2026-09-03 01:00:00-04:00,7678.75,7678.75,7679.75,7661.25,7679.5,13112
2026-09-03 02:00:00-04:00,7674.25,7674.25,7680.5,7672.0,7678.75,6595
2026-09-03 03:00:00-04:00,7683.0,7683.0,7686.25,7672.25,7674.25,10833
2026-09-03 04:00:00-04:00,7683.5,7683.5,7694.5,7681.75,7682.75,15030
2026-09-03 05:00:00-04:00,7673.5,7673.5,7686.75,7672.0,7683.5,9890
2026-09-03 06:00:00-04:00,7673.25,7673.25,7677.25,7669.25,7673.75,12163
2026-09-03 07:00:00-04:00,7673.75,7673.75,7685.25,7670.25,7673.25,16592
2026-09-03 08:00:00-04:00,7701.25,7701.25,7704.0,7673.5,7673.5,44181
2026-09-03 09:00:00-04:00,7721.75,7721.75,7726.5,7694.0,7701.25,190353
2026-09-03 10:00:00-04:00,7718.25,7718.25,7722.0,7700.0,7722.0,233455
2026-09-03 11:00:00-04:00,7759.5,7759.5,7759.5,7718.0,7718.25,263284
2026-09-03 12:00:00-04:00,7755.0,7755.0,7759.5,7748.0,7759.5,120984
2026-09-03 13:00:00-04:00,7758.25,7758.25,7761.0,7747.0,7755.0,79842
2026-09-03 14:00:00-04:00,7762.5,7762.5,7766.5,7759.75,7760.75,90423
2026-09-03 15:00:00-04:00,7756.0,7756.0,7763.0,7752.0,7762.5,204412
2026-09-03 16:00:00-04:00,7749.25,7749.25,7757.0,7748.0,7756.25,43386
2026-09-03 18:00:00-04:00,7753.0,7753.0,7753.25,7748.25,7749.75,0
2026-09-03 19:00:00-04:00,7752.75,7752.75,7754.25,7751.25,7753.0,2705
2026-09-03 20:00:00-04:00,7756.0,7756.0,7757.0,7750.5,7752.5,5773
2026-09-03 21:00:00-04:00,7756.5,7756.5,7757.25,7753.0,7756.0,5103
2026-09-03 22:00:00-04:00,7758.0,7758.0,7758.75,7755.0,7756.5,3621
2026-09-03 23:00:00-04:00,7757.75,7757.75,7759.25,7756.75,7758.0,2869
2026-09-04 00:00:00-04:00,7761.25,7761.25,7761.75,7757.0,7757.0,3994
2026-09-04 01:00:00-04:00,7761.5,7761.5,7764.5,7759.5,7761.25,5565
2026-09-04 02:00:00-04:00,7755.75,7755.75,7764.0,7755.0,7761.25,7637
2026-09-04 03:00:00-04:00,7759.75,7759.75,7763.0,7754.75,7755.75,12330
2026-09-04 04:00:00-04:00,7762.0,7762.0,7763.0,7758.5,7760.0,12163
2026-09-04 05:00:00-04:00,7758.25,7758.25,7762.25,7755.5,7762.0,8616
2026-09-04 06:00:00-04:00,7761.75,7761.75,7763.75,7758.25,7758.25,8568
2026-09-04 07:00:00-04:00,7762.0,7762.0,7764.0,7757.25,7761.75,10171
2026-09-04 08:00:00-04:00,7738.25,7738.25,7763.0,7731.25,7762.0,70793
2026-09-04 09:00:00-04:00,7745.0,7745.0,7751.0,7733.75,7738.25,151673
2026-09-04 10:00:00-04:00,7716.25,7716.25,7745.5,7715.0,7745.25,190708
2026-09-04 11:00:00-04:00,7721.25,7721.25,7722.75,7711.75,7716.25,157301
2026-09-04 12:00:00-04:00,7730.75,7730.75,7735.25,7720.25,7721.25,101412
2026-09-04 13:00:00-04:00,7716.25,7716.25,7731.5,7712.75,7730.75,105237
2026-09-04 14:00:00-04:00,7724.25,7724.25,7725.75,7713.5,7716.0,75843
2026-09-04 15:00:00-04:00,7723.75,7723.75,7726.75,7717.5,7724.25,193193
2026-09-04 16:00:00-04:00,7722.0,7722.0,7724.25,7713.75,7723.75,45943
2026-09-08 00:00:00-04:00,7723.25,7723.25,7725.75,7721.25,7722.5,5143
2026-09-08 01:00:00-04:00,7705.5,7705.5,7723.5,7705.0,7723.25,10937
2026-09-08 02:00:00-04:00,7703.25,7703.25,7707.0,7694.75,7705.75,15363
2026-09-08 03:00:00-04:00,7692.25,7692.25,7710.5,7690.0,7703.5,20902
