Datetime,Adj Close,Close,High,Low,Open,Volume
2026-09-17 00:00:00-04:00,7668.25,7668.25,7669.25,7667.25,7669.25,529
2026-09-17 00:15:00-04:00,7667.25,7667.25,7668.25,7665.75,7668.25,1276
2026-09-17 00:30:00-04:00,7668.75,7668.75,7670.25,7666.0,7667.25,1684
2026-09-17 00:45:00-04:00,7667.25,7667.25,7670.25,7666.5,7669.0,1146
2026-09-17 01:00:00-04:00,7664.5,7664.5,7667.75,7664.0,7667.25,1450
2026-09-17 01:15:00-04:00,7663.5,7663.5,7665.25,7662.5,7664.5,1929
2026-09-17 01:30:00-04:00,7659.0,7659.0,7664.0,7659.0,7663.5,3019
2026-09-17 01:45:00-04:00,7657.25,7657.25,7660.25,7656.25,7659.0,2153
2026-09-17 02:00:00-04:00,7661.5,7661.5,7664.5,7656.75,7657.0,4203
2026-09-17 02:15:00-04:00,7671.25,7671.25,7671.5,7658.5,7661.75,5406
2026-09-17 02:30:00-04:00,7676.25,7676.25,7676.75,7671.0,7671.25,5255
2026-09-17 02:45:00-04:00,7675.25,7675.25,7677.5,7674.25,7676.0,4391
2026-09-17 03:00:00-04:00,7680.25,7680.25,7684.0,7673.5,7675.25,8811
2026-09-17 03:15:00-04:00,7686.75,7686.75,7687.0,7678.75,7680.5,7719
2026-09-17 03:30:00-04:00,7685.75,7685.75,7689.25,7684.75,7686.5,7066
2026-09-17 03:45:00-04:00,7680.25,7680.25,7686.25,7679.0,7685.75,6046
2026-09-17 04:00:00-04:00,7674.5,7674.5,7681.75,7673.5,7680.0,6827
2026-09-17 04:15:00-04:00,7677.75,7677.75,7678.25,7671.25,7674.25,4722
2026-09-17 04:30:00-04:00,7679.0,7679.0,7680.75,7676.25,7677.75,3610
2026-09-17 04:45:00-04:00,7683.25,7683.25,7684.5,7678.75,7679.0,3487
2026-09-17 05:00:00-04:00,7686.75,7686.75,7689.25,7683.0,7683.25,3838
2026-09-17 05:15:00-04:00,7683.75,7683.75,7687.75,7683.5,7686.75,3771
2026-09-17 05:30:00-04:00,7685.75,7685.75,7687.0,7683.5,7683.5,3668
2026-09-17 05:45:00-04:00,7682.75,7682.75,7685.75,7681.25,7685.5,2982
2026-09-17 06:00:00-04:00,7685.25,7685.25,7687.0,7682.5,7682.5,3107
2026-09-17 06:15:00-04:00,7687.5,7687.5,7689.5,7683.5,7685.25,3944
2026-09-17 06:30:00-04:00,7684.75,7684.75,7689.5,7684.25,7687.75,4905
2026-09-17 06:45:00-04:00,7687.5,7687.5,7688.75,7684.25,7684.75,2379
2026-09-17 07:00:00-04:00,7688.0,7688.0,7690.75,7685.75,7687.75,9737
2026-09-17 07:15:00-04:00,7686.25,7686.25,7688.75,7684.75,7688.25,5275
2026-09-17 07:30:00-04:00,7683.0,7683.0,7687.5,7683.0,7686.0,4291
2026-09-17 07:45:00-04:00,7695.25,7695.25,7695.5,7682.25,7683.0,13842
2026-09-17 08:00:00-04:00,7701.75,7701.75,7703.5,7690.0,7695.0,22286
2026-09-17 08:15:00-04:00,7716.5,7716.5,7716.75,7701.25,7702.0,22625
2026-09-17 08:30:00-04:00,7717.75,7717.75,7722.25,7713.0,7716.25,23102
2026-09-17 08:45:00-04:00,7717.5,7717.5,7720.0,7715.25,7717.75,13748
